timestamp,air_humidity
1471406400,44.0
1471410000,45.0
1471413600,46.0
1471417200,45.0
1471420800,37.0
1471424400,34.0
1471428000,31.0
1471431600,29.0
1471435200,27.0
1471438800,26.0
1471442400,25.0
1471446000,27.0
1471449600,35.0
1471453200,39.0
1471456800,41.0
1471460400,40.0
1471464000,41.0
1471467600,48.0
1471471200,63.0
1471474800,67.0
1471478400,67.0
1471482000,75.0
1471485600,81.0
1471489200,86.0
1471492800,88.0
1471496400,87.0
1471500000,87.0
1471503600,82.0
1471507200,75.0
1471510800,57.0
1471514400,51.0
1471518000,46.0
1471521600,44.0
1471525200,44.0
1471528800,44.0
1471532400,45.0
1471536000,45.0
1471539600,47.0
1471543200,51.0
1471546800,54.0
1471550400,54.0
1471554000,55.0
1471557600,54.0
1471561200,54.0
1471564800,54.0
1471568400,60.0
1471572000,80.0
1471575600,79.0
1471579200,75.0
1471582800,85.0
1471586400,85.0
1471590000,82.0
1471593600,72.0
1471597200,65.0
1471600800,61.0
1471604400,53.0
1471608000,43.0
1471611600,41.0
1471615200,42.0
1471618800,42.0
1471622400,46.0
1471626000,46.0
1471629600,48.0
1471633200,53.0
1471636800,59.0
1471640400,61.0
1471644000,70.0
1471647600,73.0
1471651200,74.0
1471654800,73.0
1471658400,74.0
1471662000,78.0
1471665600,80.0
1471669200,82.0
1471672800,79.0
1471676400,72.0
1471680000,62.0
1471683600,61.0
1471687200,58.0
1471690800,53.0
1471694400,47.0
1471698000,46.0
1471701600,44.0
1471705200,51.0
1471708800,54.0
1471712400,84.0
1471716000,86.0
1471719600,89.0
1471723200,92.0
1471726800,94.0
1471730400,93.0
1471734000,90.0
1471737600,89.0
1471741200,91.0
1471744800,92.0
1471748400,91.0
1471752000,91.0
1471755600,92.0
1471759200,91.0
1471762800,80.0
1471766400,74.0
1471770000,74.0
1471773600,69.0
1471777200,64.0
1471780800,57.0
1471784400,57.0
1471788000,47.0
1471791600,46.0
1471795200,47.0
1471798800,49.0
1471802400,59.0
1471806000,63.0
1471809600,71.0
